english	localized	language
waitpid	waitpid	bs_Cyrl
wdata	wdata	bs_Cyrl
when	when	bs_Cyrl
whence	whence	bs_Cyrl
widget	widget	bs_Cyrl
width	Širina	bs_Cyrl
word	word	bs_Cyrl
writable	writable	bs_Cyrl
write	Piši	bs_Cyrl
writer	writer	bs_Cyrl
x	i	bs_Cyrl
xy	xy	bs_Cyrl
y	d	bs_Cyrl
zero	zero	bs_Cyrl
값	값	bs_Cyrl
공용서술자테이블	공용서술자테이블	bs_Cyrl
기준	기준	bs_Cyrl
기준주소	기준주소	bs_Cyrl
낮은	낮은	bs_Cyrl
넷카드콘솔	넷카드콘솔	bs_Cyrl
높은	높은	bs_Cyrl
단말기	단말기	bs_Cyrl
마우스콘솔	마우스콘솔	bs_Cyrl
매개값	매개값	bs_Cyrl
매우높은	매우높은	bs_Cyrl
멈추기	멈추기	bs_Cyrl
목적	목적	bs_Cyrl
유형	유형	bs_Cyrl
이더넷콘솔	이더넷콘솔	bs_Cyrl
인터럽트무시하기	인터럽트무시하기	bs_Cyrl
인터럽트예외처리기	인터럽트예외처리기	bs_Cyrl
인터럽트요청처리	인터럽트요청처리	bs_Cyrl
인터럽트처리기	인터럽트처리기	bs_Cyrl
임시	임시	bs_Cyrl
자료	자료	bs_Cyrl
자신	자신	bs_Cyrl
작업관리자	작업관리자	bs_Cyrl
